date,act_symbol,expiration,strike,call_put,bid,ask,vol,delta,gamma,theta,vega,rho
2022-06-03,AAPL,2022-06-17,105.0,Call,39.35,41.0,0.5729,0.9985,0.0003,-0.0053,0.0014,0.0401
2022-06-03,AAPL,2022-06-17,105.0,Put,0.02,0.05,0.6601,-0.0049,0.0008,-0.0095,0.004,-0.0003
2022-06-03,AAPL,2022-06-17,108.75,Call,36.15,37.35,0.679,0.9879,0.0016,-0.0243,0.009,0.0410
2022-06-03,AAPL,2022-06-17,108.75,Put,0.04,0.06,0.6332,-0.0081,0.0012,-0.0142,0.0063,-0.0005
2022-06-03,AAPL,2022-06-17,112.5,Call,32.4,33.7,0.6515,0.9811,0.0025,-0.0331,0.0132,0.0420
2022-06-03,AAPL,2022-06-17,112.5,Put,0.07,0.1,0.609,-0.0135,0.002,-0.0213,0.0098,-0.0008
2022-06-03,AAPL,2022-06-17,116.25,Call,28.55,29.7,0.5694,0.9805,0.0029,-0.03,0.0135,0.0434
2022-06-03,AAPL,2022-06-17,116.25,Put,0.09,0.15,0.5694,-0.0195,0.0029,-0.0274,0.0135,-0.0011
2022-06-03,AAPL,2022-06-17,120.0,Call,25.4,26.65,0.6859,0.933,0.0067,-0.0931,0.037,0.0420
2022-06-03,AAPL,2022-06-17,120.0,Put,0.16,0.18,0.5293,-0.0283,0.0043,-0.0348,0.0185,-0.0016
2022-06-03,AAPL,2022-06-17,122.5,Call,22.45,24.2,0.5716,0.944,0.0069,-0.0683,0.0321,0.0437
2022-06-03,AAPL,2022-06-17,122.5,Put,0.23,0.24,0.5109,-0.0388,0.0058,-0.0435,0.0239,-0.0023
2022-06-03,AAPL,2022-06-17,128.0,Call,17.15,18.7,0.4774,0.9211,0.0108,-0.0741,0.0419,0.0445
2022-06-03,AAPL,2022-06-17,128.0,Put,0.43,0.47,0.4643,-0.0736,0.0106,-0.0656,0.0397,-0.0043
2022-06-03,AAPL,2022-06-17,131.0,Call,14.4,16.2,0.4815,0.876,0.0149,-0.1028,0.0583,0.0430
2022-06-03,AAPL,2022-06-17,131.0,Put,0.64,0.69,0.443,-0.1061,0.0145,-0.0822,0.0521,-0.0062
2022-06-03,AAPL,2022-06-17,134.0,Call,12.25,12.8,0.4402,0.8395,0.0195,-0.1117,0.0694,0.0420
2022-06-03,AAPL,2022-06-17,134.0,Put,0.95,1.01,0.4223,-0.1513,0.0195,-0.1002,0.0667,-0.0088
2022-06-03,AAPL,2022-06-17,137.0,Call,9.65,9.95,0.3948,0.7913,0.0256,-0.1177,0.0817,0.0403
2022-06-03,AAPL,2022-06-17,137.0,Put,1.42,1.49,0.4041,-0.2134,0.0254,-0.1193,0.0829,-0.0116
2022-06-03,AAPL,2022-06-17,140.0,Call,7.45,7.65,0.3864,0.7056,0.0313,-0.1377,0.0981,0.0364
2022-06-03,AAPL,2022-06-17,140.0,Put,2.1,2.17,0.3873,-0.2947,0.0314,-0.1355,0.1005,-0.0158
2022-06-03,AAPL,2022-06-17,142.0,Call,6.05,6.2,0.3736,0.6415,0.0351,-0.144,0.1063,0.0334
2022-06-03,AAPL,2022-06-17,142.0,Put,2.68,2.77,0.3757,-0.3591,0.0351,-0.1423,0.1054,-0.0192
2022-06-03,AAPL,2022-06-17,145.0,Call,4.25,4.3,0.358,0.5307,0.039,-0.1465,0.1132,0.0279
2022-06-03,AAPL,2022-06-17,145.0,Put,3.8,3.95,0.3597,-0.4696,0.039,-0.1446,0.1133,-0.0245
2022-06-03,AAPL,2022-06-17,148.0,Call,2.79,2.88,0.3484,0.4118,0.0392,-0.1392,0.1108,0.0219
2022-06-03,AAPL,2022-06-17,148.0,Put,5.3,5.45,0.3447,-0.59,0.0398,-0.135,0.1112,-0.0299
2022-06-03,AAPL,2022-06-17,150.0,Call,2.03,2.07,0.3399,0.3329,0.0376,-0.1267,0.1034,0.0178
2022-06-03,AAPL,2022-06-17,150.0,Put,6.55,6.7,0.3394,-0.6681,0.0378,-0.1237,0.1044,-0.0330
2022-06-03,AAPL,2022-06-17,155.0,Call,0.8,0.83,0.3281,0.1685,0.0269,-0.0845,0.0716,0.0091
2022-06-03,AAPL,2022-06-17,155.0,Put,9.6,10.55,0.2794,-0.8744,0.0264,-0.0565,0.0603,-0.0353
2022-06-03,AAPL,2022-06-17,157.5,Call,0.48,0.51,0.3271,0.1125,0.0205,-0.064,0.0544,0.0061
